L,final_accuracy,final_loss,best_accuracy,best_loss
1,0.3751,,0.4014,1.7646666666666666
2,0.4178,,0.4348,1.6160000000000003
3,0.2789,,0.2922,1.9043333333333334
4,0.45,,0.45,1.6216666666666668
5,0.4544,,0.4548,1.6493333333333335
6,0.2982,,0.3179,1.8676666666666666
7,0.2774,,0.3237,1.8783333333333332
8,0.4836,,0.4866,1.5249999999999997
9,0.3051,,0.3382,1.8406666666666667
10,0.4777,,0.508,1.4783333333333333
11,0.288,,0.3288,1.8546666666666667
12,0.297,,0.3125,1.8616666666666666
13,0.3034,,0.318,1.8696666666666666
14,0.285,,0.3127,1.9126666666666665
15,0.2903,,0.299,1.888
16,0.4857,,0.5178,1.4376666666666666
17,0.2955,,0.3198,1.8823333333333332
18,0.3091,,0.3105,1.8903333333333332
19,0.2802,,0.3047,1.89
20,0.4584,,0.4706,1.5803333333333331
21,0.2795,,0.3356,1.8813333333333333
22,0.2964,,0.301,1.909
23,0.3002,,0.3231,1.882
24,0.2888,,0.296,1.8896666666666666
25,0.4622,,0.4836,1.545
26,0.2555,,0.3121,1.9003333333333334
27,0.2996,,0.3189,1.896
28,0.2628,,0.3258,1.9016666666666666
29,0.2743,,0.3154,1.8976666666666666
30,0.2609,,0.2944,1.923
31,0.3037,,0.3131,1.8790000000000002
32,0.4974,,0.4974,1.5356666666666667
