L1_accuracy,L1_loss,L2_accuracy,L2_loss,L3_accuracy,L3_loss,L4_accuracy,L4_loss,L5_accuracy,L5_loss,L6_accuracy,L6_loss,L7_accuracy,L7_loss,L8_accuracy,L8_loss,L9_accuracy,L9_loss,L10_accuracy,L10_loss,L11_accuracy,L11_loss,L12_accuracy,L12_loss,L13_accuracy,L13_loss,L14_accuracy,L14_loss,L15_accuracy,L15_loss,L16_accuracy,L16_loss,L17_accuracy,L17_loss,L18_accuracy,L18_loss,L19_accuracy,L19_loss,L20_accuracy,L20_loss,L21_accuracy,L21_loss,L22_accuracy,L22_loss,L23_accuracy,L23_loss,L24_accuracy,L24_loss,L25_accuracy,L25_loss,L26_accuracy,L26_loss,L27_accuracy,L27_loss,L28_accuracy,L28_loss,L29_accuracy,L29_loss,L30_accuracy,L30_loss,L31_accuracy,L31_loss,L32_accuracy,L32_loss
0.3592,1.9803333333333335,0.3738,1.9480000000000002,0.2439,2.047333333333333,0.3925,1.9453333333333334,0.4117,1.9266666666666667,0.3179,2.025,0.2547,2.0153333333333334,0.4071,1.9009999999999998,0.3051,2.013333333333333,0.4165,1.9006666666666667,0.3263,2.013666666666667,0.2817,2.0233333333333334,0.2769,2.025333333333333,0.2598,2.078666666666667,0.2935,2.021333333333333,0.4081,1.8733333333333333,0.3198,2.013,0.282,2.0453333333333332,0.2761,2.037666666666667,0.3933,1.9096666666666666,0.3021,2.0330000000000004,0.2954,2.045,0.2738,2.0666666666666664,0.296,2.0336666666666665,0.4003,1.9006666666666667,0.2973,2.0180000000000002,0.266,2.0526666666666666,0.2881,2.0376666666666665,0.2865,2.048666666666667,0.2783,2.0643333333333334,0.2734,2.0660000000000003,0.4093,1.9063333333333332
0.3871,1.8323333333333334,0.3472,1.781,0.2815,1.9556666666666667,0.4022,1.752,0.418,1.741666666666667,0.2922,1.8953333333333333,0.3237,1.9000000000000001,0.4313,1.6893333333333336,0.3382,1.891,0.4497,1.6666666666666667,0.3033,1.8866666666666667,0.2939,1.915,0.318,1.9196666666666669,0.2785,1.9293333333333333,0.2578,1.9186666666666667,0.4234,1.6413333333333335,0.3188,1.904,0.2676,1.9233333333333331,0.2856,1.9303333333333335,0.4339,1.7096666666666664,0.3123,1.9076666666666666,0.2947,1.9373333333333334,0.3057,1.9363333333333335,0.2815,1.9376666666666669,0.4262,1.6943333333333335,0.3121,1.915,0.2985,1.9480000000000002,0.3111,1.9256666666666664,0.2897,1.945,0.2915,1.9426666666666668,0.3131,1.959666666666667,0.4188,1.6826666666666668
0.3821,1.8266666666666664,0.3929,1.743,0.2768,1.9486666666666668,0.4412,1.6756666666666666,0.4304,1.6763333333333332,0.2895,1.8676666666666666,0.3039,1.8783333333333332,0.4506,1.603,0.3056,1.8616666666666666,0.4559,1.5966666666666667,0.3288,1.8736666666666668,0.293,1.8843333333333334,0.3021,1.9026666666666667,0.2969,1.9126666666666665,0.2959,1.9406666666666668,0.4629,1.5673333333333332,0.312,1.8883333333333334,0.2996,1.8993333333333335,0.2718,1.922666666666667,0.3943,1.6623333333333334,0.3356,1.9046666666666665,0.2687,1.9633333333333336,0.307,1.9100000000000001,0.2807,1.9083333333333332,0.4612,1.632,0.2873,1.9003333333333334,0.3189,1.9153333333333336,0.3139,1.9016666666666666,0.3154,1.9196666666666669,0.2944,1.928,0.3031,1.922,0.4451,1.6276666666666666
0.3781,1.8133333333333335,0.404,1.7096666666666664,0.2745,1.9363333333333335,0.4442,1.6340000000000001,0.4338,1.6620000000000001,0.3144,1.8703333333333336,0.2848,1.881,0.4527,1.602,0.3131,1.857,0.4834,1.5739999999999998,0.2885,1.8550000000000002,0.3125,1.8816666666666666,0.3129,1.889,0.2818,1.9436666666666664,0.2836,1.9186666666666667,0.4804,1.5426666666666666,0.2774,1.9023333333333332,0.2858,1.912,0.3047,1.9056666666666666,0.4289,1.6466666666666667,0.3141,1.8973333333333333,0.2744,1.9423333333333332,0.3043,1.8989999999999998,0.2661,1.9023333333333332,0.4764,1.608666666666667,0.2813,1.9086666666666667,0.2775,1.912,0.3258,1.9096666666666666,0.29,1.8976666666666666,0.2697,1.923,0.297,1.9186666666666667,0.4677,1.5913333333333333
0.3753,1.788,0.4233,1.6883333333333332,0.2844,1.9323333333333332,0.4247,1.6216666666666668,0.4449,1.6563333333333332,0.3017,1.8733333333333333,0.3042,1.8983333333333334,0.4808,1.5736666666666668,0.3372,1.8539999999999999,0.4613,1.5626666666666669,0.3019,1.8613333333333335,0.3038,1.8616666666666666,0.298,1.8956666666666668,0.3127,1.9569999999999999,0.2685,1.9056666666666668,0.4795,1.53,0.3039,1.9026666666666667,0.2659,1.9023333333333332,0.2958,1.891333333333333,0.4362,1.6236666666666668,0.3021,1.8933333333333333,0.2841,1.921,0.2932,1.8953333333333333,0.2835,1.9016666666666666,0.4582,1.5823333333333334,0.2957,1.9236666666666666,0.2973,1.9113333333333333,0.3113,1.9189999999999998,0.2757,1.9136666666666666,0.2719,1.9386666666666665,0.31,1.8916666666666666,0.4628,1.5786666666666667
0.3968,1.7833333333333332,0.4348,1.6656666666666666,0.2922,1.9183333333333332,0.4351,1.6219999999999999,0.4306,1.6493333333333335,0.2954,1.8773333333333333,0.2882,1.8933333333333333,0.4866,1.5363333333333333,0.3328,1.8406666666666667,0.492,1.5496666666666667,0.2987,1.8783333333333332,0.2896,1.8760000000000001,0.3096,1.8796666666666668,0.3095,1.9373333333333331,0.2876,1.9006666666666667,0.4961,1.5116666666666667,0.2756,1.8823333333333332,0.298,1.9016666666666666,0.2796,1.8920000000000001,0.4521,1.618,0.2677,1.8813333333333333,0.2916,1.9313333333333336,0.3086,1.9053333333333333,0.2638,1.9143333333333334,0.4724,1.5803333333333331,0.2609,1.9226666666666665,0.315,1.898,0.307,1.9163333333333334,0.2817,1.9303333333333335,0.2619,1.9296666666666666,0.2886,1.891,0.4601,1.5693333333333335
0.4014,1.7783333333333333,0.4321,1.6576666666666666,0.2689,1.914,0.4239,1.6416666666666666,0.4356,1.6696666666666669,0.3048,1.868,0.2875,1.9173333333333333,0.4717,1.5386666666666666,0.3172,1.8496666666666666,0.508,1.531,0.3181,1.873,0.3094,1.8783333333333332,0.3046,1.8936666666666666,0.3067,1.953,0.2765,1.9009999999999998,0.478,1.4889999999999999,0.2977,1.9016666666666666,0.3105,1.9036666666666668,0.3016,1.8933333333333333,0.4706,1.6143333333333334,0.2694,1.9156666666666666,0.301,1.909,0.3231,1.8866666666666667,0.2804,1.8936666666666666,0.4836,1.5679999999999998,0.271,1.9440000000000002,0.3144,1.9133333333333333,0.3055,1.9046666666666667,0.3091,1.9233333333333336,0.2864,1.9876666666666667,0.2785,1.8833333333333335,0.4437,1.5706666666666667
0.3657,1.7646666666666666,0.4162,1.6160000000000003,0.2805,1.9043333333333334,0.4098,1.6336666666666666,0.423,1.67,0.2933,1.87,0.2727,1.9113333333333333,0.4796,1.5250000000000001,0.3016,1.87,0.4988,1.513,0.2755,1.8546666666666667,0.2802,1.8783333333333332,0.3102,1.9000000000000001,0.2855,1.9476666666666667,0.2859,1.8950000000000002,0.5178,1.4786666666666666,0.2954,1.891,0.3054,1.9103333333333332,0.2847,1.8960000000000001,0.4348,1.596,0.2887,1.9036666666666668,0.2758,1.9240000000000002,0.2913,1.883,0.2838,1.899333333333333,0.4579,1.545,0.2641,1.9143333333333334,0.2919,1.896,0.2652,1.9086666666666667,0.2956,1.9056666666666668,0.2655,1.9696666666666667,0.2864,1.8933333333333333,0.4742,1.5713333333333332
0.372,1.7976666666666665,0.4089,1.617,0.2818,1.907,0.4459,1.6343333333333334,0.4204,1.6506666666666667,0.2741,1.877,0.2765,1.899,0.4725,1.5249999999999997,0.3148,1.8840000000000001,0.5066,1.4900000000000002,0.3017,1.889,0.2857,1.8883333333333334,0.307,1.897,0.2979,1.946,0.299,1.893,0.5026,1.4523333333333335,0.2941,1.8823333333333334,0.3089,1.9033333333333333,0.2758,1.89,0.4589,1.607,0.2884,1.8953333333333333,0.2425,1.923,0.2885,1.8826666666666665,0.2825,1.9013333333333333,0.4518,1.588,0.241,1.9366666666666665,0.279,1.9233333333333336,0.2986,1.9053333333333333,0.2886,1.9023333333333337,0.2579,1.9566666666666668,0.2862,1.8790000000000002,0.4684,1.5476666666666665
0.3769,1.7913333333333334,0.4201,1.6466666666666667,0.2842,1.9109999999999998,0.4497,1.625,0.4548,1.6523333333333332,0.3008,1.8893333333333333,0.2802,1.9043333333333334,0.4829,1.5326666666666666,0.3075,1.874666666666667,0.4754,1.4783333333333333,0.2889,1.888,0.2972,1.8763333333333332,0.3015,1.8696666666666666,0.2874,1.9329999999999998,0.2917,1.888,0.4878,1.4376666666666666,0.2996,1.8840000000000001,0.3084,1.8903333333333332,0.2814,1.8949999999999998,0.4568,1.5803333333333331,0.273,1.9143333333333332,0.2945,1.9296666666666666,0.3007,1.882,0.2957,1.8896666666666666,0.4625,1.5896666666666668,0.257,1.938,0.3039,1.9583333333333333,0.2639,1.920333333333333,0.2781,1.944,0.2539,1.9543333333333333,0.3039,1.8916666666666666,0.4948,1.5356666666666667
