L4_accuracy,L4_loss,L8_accuracy,L8_loss,L16_accuracy,L16_loss,L32_accuracy,L32_loss
0.4052,1.9263333333333332,0.3963,1.922666666666667,0.4159,1.8703333333333332,0.4042,1.8470000000000002
0.4248,1.7196666666666667,0.419,1.7206666666666666,0.4374,1.6456666666666664,0.4444,1.6446666666666665
0.4379,1.6723333333333334,0.4056,1.6933333333333334,0.4644,1.592666666666667,0.445,1.5863333333333334
0.4237,1.6656666666666666,0.4362,1.6276666666666666,0.4447,1.582,0.4237,1.5696666666666665
0.4233,1.6703333333333334,0.442,1.6213333333333333,0.468,1.6006666666666665,0.4586,1.5656666666666668
0.433,1.6360000000000001,0.4351,1.6176666666666666,0.467,1.5763333333333334,0.4501,1.57
0.4538,1.6280000000000001,0.4465,1.6206666666666667,0.4814,1.5680000000000003,0.4541,1.5756666666666665
0.4482,1.6363333333333332,0.4373,1.6203333333333336,0.4668,1.5683333333333334,0.4656,1.5703333333333331
0.4517,1.617333333333333,0.4296,1.611,0.4816,1.5536666666666665,0.4503,1.5706666666666667
0.4571,1.5896666666666668,0.4606,1.6113333333333333,0.4615,1.542,0.4837,1.5520000000000003
0.4563,,0.4605,,0.4616,,0.4784,
