L,final_accuracy,final_loss,best_accuracy,best_loss
10,0.7671,,0.7766,0.052
16,0.7726,,0.7755,0.03766666666666666
20,0.7658,,0.7659,0.03966666666666666
25,0.7698,,0.7752,0.042666666666666665
32,0.7636,,0.7674,0.04533333333333334
40,0.7731,,0.7788,0.035
50,0.7778,,0.7818,0.035666666666666666
64,0.7613,,0.7699,0.04566666666666667
3,0.7618,,0.7637,0.035333333333333335
7,0.7686,,0.7754,0.03666666666666666
26,0.7685,,0.7709,0.04766666666666667
30,0.7728,,0.7784,0.03466666666666667
36,0.7761,,0.7823,0.03266666666666667
48,0.7577,,0.7628,0.03566666666666667
