L10_accuracy,L10_loss,L16_accuracy,L16_loss,L20_accuracy,L20_loss,L25_accuracy,L25_loss,L32_accuracy,L32_loss,L40_accuracy,L40_loss,L50_accuracy,L50_loss,L64_accuracy,L64_loss,L3_accuracy,L3_loss,L7_accuracy,L7_loss,L26_accuracy,L26_loss,L30_accuracy,L30_loss,L36_accuracy,L36_loss,L48_accuracy,L48_loss
0.4414,1.832,0.4691,1.811,0.4376,1.8463333333333332,0.4573,1.857,0.4551,1.8179999999999998,0.4416,1.8426666666666665,0.4388,1.8310000000000002,0.4391,1.8163333333333334,0.4467,1.7919999999999998,0.4591,1.8043333333333333,0.4488,1.8486666666666665,0.4554,1.869,0.4681,1.7833333333333332,0.4743,1.813
0.5099,1.3719999999999999,0.5692,1.322,0.5428,1.3316666666666666,0.533,1.317,0.559,1.3656666666666666,0.5551,1.333,0.5334,1.3296666666666666,0.5486,1.3526666666666667,0.5385,1.337,0.5569,1.314,0.52,1.3656666666666666,0.5461,1.333,0.5362,1.3076666666666668,0.5563,1.2966666666666666
0.5602,1.1403333333333332,0.5999,1.1163333333333334,0.5882,1.1346666666666667,0.5934,1.1053333333333333,0.5947,1.1493333333333333,0.596,1.117,0.5972,1.1153333333333333,0.6029,1.1503333333333334,0.5945,1.1283333333333332,0.5797,1.1143333333333334,0.5888,1.16,0.6083,1.112,0.6118,1.0796666666666668,0.6078,1.0873333333333335
0.6193,0.9976666666666668,0.6486,0.9773333333333333,0.613,1.0016666666666667,0.6216,0.9763333333333333,0.6097,1.0176666666666667,0.6283,0.9733333333333333,0.6265,0.9696666666666666,0.6122,1.006,0.6461,0.9953333333333333,0.6581,0.963,0.6297,1.0263333333333333,0.6276,0.9703333333333332,0.632,0.9496666666666668,0.6369,0.9536666666666666
0.6638,0.888,0.6611,0.8626666666666667,0.6561,0.8963333333333333,0.6629,0.872,0.6786,0.8973333333333334,0.6704,0.8616666666666667,0.6606,0.8546666666666667,0.6398,0.8923333333333333,0.6357,0.8783333333333333,0.6423,0.8516666666666666,0.6496,0.9083333333333333,0.6387,0.8573333333333334,0.6588,0.835,0.6265,0.852
0.6555,0.8039999999999999,0.6804,0.782,0.6433,0.8096666666666668,0.6834,0.783,0.6893,0.8170000000000001,0.7024,0.7686666666666667,0.6976,0.7629999999999999,0.6509,0.8266666666666667,0.6434,0.795,0.6588,0.7616666666666667,0.666,0.8256666666666667,0.6621,0.7576666666666667,0.7052,0.7503333333333334,0.673,0.7726666666666667
0.6777,0.7356666666666666,0.6976,0.7076666666666666,0.6979,0.7326666666666667,0.6872,0.7086666666666667,0.6912,0.734,0.6925,0.6926666666666667,0.713,0.6863333333333334,0.6885,0.7496666666666667,0.6477,0.7159999999999999,0.6977,0.6849999999999999,0.687,0.7533333333333333,0.7034,0.68,0.7,0.6733333333333333,0.6923,0.6983333333333334
0.7082,0.6596666666666667,0.7228,0.6316666666666667,0.7159,0.6583333333333333,0.699,0.6443333333333334,0.694,0.6603333333333333,0.7154,0.609,0.7022,0.61,0.6929,0.6756666666666667,0.684,0.6426666666666667,0.7259,0.6176666666666666,0.708,0.6766666666666667,0.699,0.61,0.7263,0.5993333333333334,0.7003,0.627
0.6934,0.6036666666666667,0.7155,0.5696666666666667,0.7069,0.5936666666666666,0.7178,0.586,0.6349,0.6153333333333334,0.7172,0.5496666666666666,0.7277,0.5553333333333333,0.6923,0.6153333333333334,0.7034,0.5803333333333333,0.7209,0.5563333333333333,0.6991,0.6113333333333334,0.7127,0.5503333333333335,0.7072,0.5383333333333334,0.7054,0.5713333333333332
0.7236,0.542,0.7351,0.512,0.7237,0.5366666666666667,0.7304,0.5223333333333334,0.7067,0.5416666666666666,0.7378,0.49333333333333335,0.7441,0.48900000000000005,0.7108,0.5500000000000002,0.7067,0.52,0.7056,0.49333333333333335,0.7008,0.5516666666666666,0.7063,0.48966666666666664,0.7394,0.476,0.7297,0.5073333333333334
